# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: C:\Users\gsm3\Downloads\SD-Project-2-master\SDProject2.csv
# Generated on: Mon Jun 04 15:37:42 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
,Unknown,PIN_AB15,4,B4_N2,,
,Unknown,PIN_AE17,4,B4_N2,,
,Unknown,PIN_AF17,4,B4_N2,,
,Unknown,PIN_AG18,4,B4_N2,,
,Unknown,PIN_AH18,4,B4_N2,,
,Unknown,PIN_AG19,4,B4_N2,,
,Unknown,PIN_AH19,4,B4_N2,,
,Unknown,PIN_AC17,4,B4_N2,,
,Unknown,PIN_AD17,4,B4_N2,,
,Unknown,PIN_AG21,4,B4_N2,,
,Unknown,PIN_AH21,4,B4_N2,,
,Unknown,PIN_AE18,4,B4_N2,,
,Unknown,PIN_AF18,4,B4_N1,,
,Unknown,PIN_AG22,4,B4_N1,,
,Unknown,PIN_AH22,4,B4_N1,,
,Unknown,PIN_AG23,4,B4_N1,,
,Unknown,PIN_AH23,4,B4_N1,,
,Unknown,PIN_AE19,4,B4_N1,,
,Unknown,PIN_AF19,4,B4_N1,,
,Unknown,PIN_AF24,4,B4_N1,,
,Unknown,PIN_AF25,4,B4_N1,,
,Unknown,PIN_AE20,4,B4_N1,,
,Unknown,PIN_AF20,4,B4_N1,,
,Unknown,PIN_AD18,4,B4_N1,,
,Unknown,PIN_AE21,4,B4_N1,,
,Unknown,PIN_AF21,4,B4_N1,,
,Unknown,PIN_AC18,4,B4_N1,,
,Unknown,PIN_AA17,4,B4_N1,,
,Unknown,PIN_AB17,4,B4_N1,,
,Unknown,PIN_AE25,4,B4_N1,,
,Unknown,PIN_AF26,4,B4_N1,,
,Unknown,PIN_AG25,4,B4_N1,,
,Unknown,PIN_AH25,4,B4_N1,,
,Unknown,PIN_AC19,4,B4_N0,,
,Unknown,PIN_AD19,4,B4_N0,,
,Unknown,PIN_Y17,4,B4_N0,,
,Unknown,PIN_Y16,4,B4_N0,,
,Unknown,PIN_AE22,4,B4_N0,,
,Unknown,PIN_AF22,4,B4_N0,,
,Unknown,PIN_AB19,4,B4_N0,,
,Unknown,PIN_AB18,4,B4_N0,,
,Unknown,PIN_AD25,4,B4_N0,,
,Unknown,PIN_AE24,4,B4_N0,,
,Unknown,PIN_AB20,4,B4_N0,,
,Unknown,PIN_AC21,4,B4_N0,,
,Unknown,PIN_AD21,4,B4_N0,,
,Unknown,PIN_AD24,4,B4_N0,,
,Unknown,PIN_AE23,4,B4_N0,,
,Unknown,PIN_AF23,4,B4_N0,,
,Unknown,PIN_Y19,4,B4_N0,,
,Unknown,PIN_AA19,4,B4_N0,,
,Unknown,PIN_AB22,4,B4_N0,,
,Unknown,PIN_AB21,4,B4_N0,,
,Unknown,PIN_AC22,4,B4_N0,,
,Unknown,PIN_AD22,4,B4_N0,,
,Unknown,PIN_AA21,4,B4_N0,,
,Unknown,PIN_AG26,4,B4_N0,,
,Unknown,PIN_AH26,4,B4_N0,,
,Unknown,PIN_Y20,,,,
,Unknown,PIN_AA20,,,,
,Unknown,PIN_Y21,,,,
,Unknown,PIN_AC25,5,B5_N2,,
,Unknown,PIN_AC24,5,B5_N2,,
,Unknown,PIN_AB24,5,B5_N2,,
,Unknown,PIN_AA22,5,B5_N2,,
